,walk,bicycle,bicycle,car,car
,,regular,ebike25,night,peak
speed_baseline,5,18,25,,
alpha_up,2.4,3.1,1.5,0,0
alpha_down,0.1,-0.5,-0.1,0,0
beta_density,0.02,-0.02,-0.02,0,-0.45
beta_intersection,0,0,0,2.1,3.3
beta_intersection_4,0,7.2,7.2,4.7,6.2
beta_traffic_signal,0,0.8,0.8,4.4,15.6
overhead_orig_const,19,44,44,22,22
overhead_dest_const,19,44,44,22,22
overhead_orig_dist,0.5,0.2,0.15,0.1,0.15
overhead_dest_dist,0.5,0.2,0.15,0.1,0.15
overhead_orig_density,0,30,30,130,130
overhead_dest_density,0,30,30,130,130